Rows:8
Cols:8
Number of Obstacles:0
Position of Obstacles (space between):-
K (Minimum number of pieces left in goal):16
Number of King, Queen, Bishop, Rook, Knight (space between):64 0 0 0 0
Position of Pieces [Piece, Pos]:
[King,a0]
[King,a1]
[King,a2]
[King,a3]
[King,a4]
[King,a5]
[King,a6]
[King,a7]
[King,b0]
[King,b1]
[King,b2]
[King,b3]
[King,b4]
[King,b5]
[King,b6]
[King,b7]
[King,c0]
[King,c1]
[King,c2]
[King,c3]
[King,c4]
[King,c5]
[King,c6]
[King,c7]
[King,d0]
[King,d1]
[King,d2]
[King,d3]
[King,d4]
[King,d5]
[King,d6]
[King,d7]
[King,e0]
[King,e1]
[King,e2]
[King,e3]
[King,e4]
[King,e5]
[King,e6]
[King,e7]
[King,f0]
[King,f1]
[King,f2]
[King,f3]
[King,f4]
[King,f5]
[King,f6]
[King,f7]
[King,g0]
[King,g1]
[King,g2]
[King,g3]
[King,g4]
[King,g5]
[King,g6]
[King,g7]
[King,h0]
[King,h1]
[King,h2]
[King,h3]
[King,h4]
[King,h5]
[King,h6]
[King,h7]
