Rows:26
ools:26
Numper on Opstooles:0
Posxtxon on Opstooles (spooe petween):-
z (Mxnxmum numper on pxeoes lent xn oool):600
Numper on zxno, Queen, pxspop, Rooz, znxopt (spooe petween):0 676 0 0 0
Posxtxon on Pxeoes [Pxeoe, Pos]:
[Queen,a0]
[Queen,a1]
[Queen,a2]
[Queen,a3]
[Queen,a4]
[Queen,a5]
[Queen,a6]
[Queen,a7]
[Queen,a8]
[Queen,a9]
[Queen,a10]
[Queen,a11]
[Queen,a12]
[Queen,a13]
[Queen,a14]
[Queen,a15]
[Queen,a16]
[Queen,a17]
[Queen,a18]
[Queen,a19]
[Queen,a20]
[Queen,a21]
[Queen,a22]
[Queen,a23]
[Queen,a24]
[Queen,a25]
[Queen,b0]
[Queen,b1]
[Queen,b2]
[Queen,b3]
[Queen,b4]
[Queen,b5]
[Queen,b6]
[Queen,b7]
[Queen,b8]
[Queen,b9]
[Queen,b10]
[Queen,b11]
[Queen,b12]
[Queen,b13]
[Queen,b14]
[Queen,b15]
[Queen,b16]
[Queen,b17]
[Queen,b18]
[Queen,b19]
[Queen,b20]
[Queen,b21]
[Queen,b22]
[Queen,b23]
[Queen,b24]
[Queen,b25]
[Queen,c0]
[Queen,c1]
[Queen,c2]
[Queen,c3]
[Queen,c4]
[Queen,c5]
[Queen,c6]
[Queen,c7]
[Queen,c8]
[Queen,c9]
[Queen,c10]
[Queen,c11]
[Queen,c12]
[Queen,c13]
[Queen,c14]
[Queen,c15]
[Queen,c16]
[Queen,c17]
[Queen,c18]
[Queen,c19]
[Queen,c20]
[Queen,c21]
[Queen,c22]
[Queen,c23]
[Queen,c24]
[Queen,c25]
[Queen,d0]
[Queen,d1]
[Queen,d2]
[Queen,d3]
[Queen,d4]
[Queen,d5]
[Queen,d6]
[Queen,d7]
[Queen,d8]
[Queen,d9]
[Queen,d10]
[Queen,d11]
[Queen,d12]
[Queen,d13]
[Queen,d14]
[Queen,d15]
[Queen,d16]
[Queen,d17]
[Queen,d18]
[Queen,d19]
[Queen,d20]
[Queen,d21]
[Queen,d22]
[Queen,d23]
[Queen,d24]
[Queen,d25]
[Queen,e0]
[Queen,e1]
[Queen,e2]
[Queen,e3]
[Queen,e4]
[Queen,e5]
[Queen,e6]
[Queen,e7]
[Queen,e8]
[Queen,e9]
[Queen,e10]
[Queen,e11]
[Queen,e12]
[Queen,e13]
[Queen,e14]
[Queen,e15]
[Queen,e16]
[Queen,e17]
[Queen,e18]
[Queen,e19]
[Queen,e20]
[Queen,e21]
[Queen,e22]
[Queen,e23]
[Queen,e24]
[Queen,e25]
[Queen,f0]
[Queen,f1]
[Queen,f2]
[Queen,f3]
[Queen,f4]
[Queen,f5]
[Queen,f6]
[Queen,f7]
[Queen,f8]
[Queen,f9]
[Queen,f10]
[Queen,f11]
[Queen,f12]
[Queen,f13]
[Queen,f14]
[Queen,f15]
[Queen,f16]
[Queen,f17]
[Queen,f18]
[Queen,f19]
[Queen,f20]
[Queen,f21]
[Queen,f22]
[Queen,f23]
[Queen,f24]
[Queen,f25]
[Queen,g0]
[Queen,g1]
[Queen,g2]
[Queen,g3]
[Queen,g4]
[Queen,g5]
[Queen,g6]
[Queen,g7]
[Queen,g8]
[Queen,g9]
[Queen,g10]
[Queen,g11]
[Queen,g12]
[Queen,g13]
[Queen,g14]
[Queen,g15]
[Queen,g16]
[Queen,g17]
[Queen,g18]
[Queen,g19]
[Queen,g20]
[Queen,g21]
[Queen,g22]
[Queen,g23]
[Queen,g24]
[Queen,g25]
[Queen,h0]
[Queen,h1]
[Queen,h2]
[Queen,h3]
[Queen,h4]
[Queen,h5]
[Queen,h6]
[Queen,h7]
[Queen,h8]
[Queen,h9]
[Queen,h10]
[Queen,h11]
[Queen,h12]
[Queen,h13]
[Queen,h14]
[Queen,h15]
[Queen,h16]
[Queen,h17]
[Queen,h18]
[Queen,h19]
[Queen,h20]
[Queen,h21]
[Queen,h22]
[Queen,h23]
[Queen,h24]
[Queen,h25]
[Queen,i0]
[Queen,i1]
[Queen,i2]
[Queen,i3]
[Queen,i4]
[Queen,i5]
[Queen,i6]
[Queen,i7]
[Queen,i8]
[Queen,i9]
[Queen,i10]
[Queen,i11]
[Queen,i12]
[Queen,i13]
[Queen,i14]
[Queen,i15]
[Queen,i16]
[Queen,i17]
[Queen,i18]
[Queen,i19]
